RoomType;Room_ID;hasCoordinate;Height;W;D;OpeningArea;WFR;v_out;T_out;Distance;T_10_ID;T_10;T_20_ID;T_20;T_30_ID;T_30;T_40_ID;T_40;T_50_ID;T_50;T_60_ID;T_60;T_70_ID;T_70;T_80_ID;T_80;T_90_ID;T_90;T_100_ID;T_100
Standard;:Standard_075;{1.55, -1.5, -1.3};1;3,5;4;0,75;0,0534;3;5;1,946953;Res_V_T10_132;0,111829;Res_V_T20_132;0,105825;Res_V_T30_132;0,111419;Res_V_T40_132;0,105601;Res_V_T50_132;0,118718;Res_V_T60_132;0,106092;Res_V_T70_132;0,118305;Res_V_T80_132;0,10755;Res_V_T90_132;0,123289;Res_V_T100_132;0,108528
Standard;:Standard_075;{1.55, -1.2, -1.3};1;3,5;4;0,75;0,0534;3;5;2,022529;Res_V_T10_133;0,113455;Res_V_T20_133;0,111807;Res_V_T30_133;0,112125;Res_V_T40_133;0,11066;Res_V_T50_133;0,123241;Res_V_T60_133;0,111612;Res_V_T70_133;0,124409;Res_V_T80_133;0,114216;Res_V_T90_133;0,129512;Res_V_T100_133;0,114907
Standard;:Standard_075;{1.55, -0.9, -1.3};1;3,5;4;0,75;0,0534;3;5;2,137902;Res_V_T10_134;0,116545;Res_V_T20_134;0,116484;Res_V_T30_134;0,115062;Res_V_T40_134;0,114588;Res_V_T50_134;0,130435;Res_V_T60_134;0,116597;Res_V_T70_134;0,135838;Res_V_T80_134;0,120801;Res_V_T90_134;0,142554;Res_V_T100_134;0,120928
Standard;:Standard_075;{1.55, -0.6, -1.3};1;3,5;4;0,75;0,0534;3;5;2,287056;Res_V_T10_135;0,11805;Res_V_T20_135;0,118829;Res_V_T30_135;0,116519;Res_V_T40_135;0,11657;Res_V_T50_135;0,135279;Res_V_T60_135;0,119421;Res_V_T70_135;0,146154;Res_V_T80_135;0,124823;Res_V_T90_135;0,155172;Res_V_T100_135;0,124197
Standard;:Standard_075;{1.55, -0.3, -1.3};1;3,5;4;0,75;0,0534;3;5;2,463864;Res_V_T10_136;0,118857;Res_V_T20_136;0,120315;Res_V_T30_136;0,116576;Res_V_T40_136;0,117967;Res_V_T50_136;0,13756;Res_V_T60_136;0,121378;Res_V_T70_136;0,155226;Res_V_T80_136;0,127556;Res_V_T90_136;0,167355;Res_V_T100_136;0,126074
Standard;:Standard_075;{1.55, 0.0, -1.3};1;3,5;4;0,75;0,0534;3;5;2,662823;Res_V_T10_137;0,118963;Res_V_T20_137;0,121276;Res_V_T30_137;0,115638;Res_V_T40_137;0,119193;Res_V_T50_137;0,136622;Res_V_T60_137;0,122881;Res_V_T70_137;0,159853;Res_V_T80_137;0,129108;Res_V_T90_137;0,175221;Res_V_T100_137;0,126763
Standard;:Standard_075;{1.55, 0.3, -1.3};1;3,5;4;0,75;0,0534;3;5;2,879345;Res_V_T10_138;0,117906;Res_V_T20_138;0,121088;Res_V_T30_138;0,113689;Res_V_T40_138;0,119661;Res_V_T50_138;0,133249;Res_V_T60_138;0,123899;Res_V_T70_138;0,161051;Res_V_T80_138;0,129785;Res_V_T90_138;0,180544;Res_V_T100_138;0,126066
Standard;:Standard_075;{1.55, 0.6, -1.3};1;3,5;4;0,75;0,0534;3;5;3,109763;Res_V_T10_139;0,114832;Res_V_T20_139;0,118639;Res_V_T30_139;0,110126;Res_V_T40_139;0,118376;Res_V_T50_139;0,126169;Res_V_T60_139;0,123597;Res_V_T70_139;0,157489;Res_V_T80_139;0,128463;Res_V_T90_139;0,1827;Res_V_T100_139;0,122327
Standard;:Standard_075;{1.55, 0.9, -1.3};1;3,5;4;0,75;0,0534;3;5;3,351212;Res_V_T10_140;0,110234;Res_V_T20_140;0,114083;Res_V_T30_140;0,105475;Res_V_T40_140;0,114893;Res_V_T50_140;0,117633;Res_V_T60_140;0,121158;Res_V_T70_140;0,148764;Res_V_T80_140;0,124812;Res_V_T90_140;0,178927;Res_V_T100_140;0,116164
Standard;:Standard_075;{1.55, 1.2, -1.3};1;3,5;4;0,75;0,0534;3;5;3,601475;Res_V_T10_141;0,102815;Res_V_T20_141;0,105735;Res_V_T30_141;0,098323;Res_V_T40_141;0,107421;Res_V_T50_141;0,106241;Res_V_T60_141;0,114643;Res_V_T70_141;0,13302;Res_V_T80_141;0,116932;Res_V_T90_141;0,166301;Res_V_T100_141;0,10593
