RoomID,RoomType,OriginID,OriginPoint,Height,Width,Depth,WFR,OutdoorVelocity,OutdoorTemperature,DistanceFromWindow,PointID,Point,ResultID_T10,T_10
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.013088,SR_P97,"{0.62, -0.3, -1.3}",Res_T10_97,0.151902
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.252227,SR_P98,"{0.62, 0.0, -1.3}",Res_T10_98,0.137497
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.504501,SR_P99,"{0.62, 0.3, -1.3}",Res_T10_99,0.12584
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.76632,SR_P100,"{0.62, 0.6, -1.3}",Res_T10_100,0.114652
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.035214,SR_P101,"{0.62, 0.9, -1.3}",Res_T10_101,0.106114
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.30946,SR_P102,"{0.62, 1.2, -1.3}",Res_T10_102,0.095786
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.58783,SR_P103,"{0.62, 1.5, -1.3}",Res_T10_103,0.078889
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.869435,SR_P104,"{0.62, 1.8, -1.3}",Res_T10_104,0.076013
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.460488,SR_P105,"{0.93, -1.8, -1.3}",Res_T10_105,0.204954
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.501008,SR_P106,"{0.93, -1.5, -1.3}",Res_T10_106,0.174412
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.597819,SR_P107,"{0.93, -1.2, -1.3}",Res_T10_107,0.172216
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.741558,SR_P108,"{0.93, -0.9, -1.3}",Res_T10_108,0.163121
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.921724,SR_P109,"{0.93, -0.6, -1.3}",Res_T10_109,0.151987
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.12909,SR_P110,"{0.93, -0.3, -1.3}",Res_T10_110,0.139805
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.356486,SR_P111,"{0.93, 0.0, -1.3}",Res_T10_111,0.131295
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.598658,SR_P112,"{0.93, 0.3, -1.3}",Res_T10_112,0.124464
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.851846,SR_P113,"{0.93, 0.6, -1.3}",Res_T10_113,0.117745
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.113362,SR_P114,"{0.93, 0.9, -1.3}",Res_T10_114,0.110839
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.381276,SR_P115,"{0.93, 1.2, -1.3}",Res_T10_115,0.101226
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.654179,SR_P116,"{0.93, 1.5, -1.3}",Res_T10_116,0.083285
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.931034,SR_P117,"{0.93, 1.8, -1.3}",Res_T10_117,0.075343
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.67503,SR_P118,"{1.24, -1.8, -1.3}",Res_T10_118,0.187601
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.710475,SR_P119,"{1.24, -1.5, -1.3}",Res_T10_119,0.1381
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.79603,SR_P120,"{1.24, -1.2, -1.3}",Res_T10_120,0.133941
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.925026,SR_P121,"{1.24, -0.9, -1.3}",Res_T10_121,0.129804
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.089432,SR_P122,"{1.24, -0.6, -1.3}",Res_T10_122,0.125464
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.281606,SR_P123,"{1.24, -0.3, -1.3}",Res_T10_123,0.121808
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.49514,SR_P124,"{1.24, 0.0, -1.3}",Res_T10_124,0.119905
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.725018,SR_P125,"{1.24, 0.3, -1.3}",Res_T10_125,0.118224
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.967444,SR_P126,"{1.24, 0.6, -1.3}",Res_T10_126,0.114323
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.219585,SR_P127,"{1.24, 0.9, -1.3}",Res_T10_127,0.108043
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.479328,SR_P128,"{1.24, 1.2, -1.3}",Res_T10_128,0.098616
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.745093,SR_P129,"{1.24, 1.5, -1.3}",Res_T10_129,0.079784
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,4.015685,SR_P130,"{1.24, 1.8, -1.3}",Res_T10_130,0.069371
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.915888,SR_P131,"{1.55, -1.8, -1.3}",Res_T10_131,0.146512
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,1.946953,SR_P132,"{1.55, -1.5, -1.3}",Res_T10_132,0.111829
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.022529,SR_P133,"{1.55, -1.2, -1.3}",Res_T10_133,0.113455
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.137902,SR_P134,"{1.55, -0.9, -1.3}",Res_T10_134,0.116545
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.287056,SR_P135,"{1.55, -0.6, -1.3}",Res_T10_135,0.11805
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.463864,SR_P136,"{1.55, -0.3, -1.3}",Res_T10_136,0.118857
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.662823,SR_P137,"{1.55, 0.0, -1.3}",Res_T10_137,0.118963
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,2.879345,SR_P138,"{1.55, 0.3, -1.3}",Res_T10_138,0.117906
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.109763,SR_P139,"{1.55, 0.6, -1.3}",Res_T10_139,0.114832
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.351212,SR_P140,"{1.55, 0.9, -1.3}",Res_T10_140,0.110234
Standard_00534,Standard,SR_OriginPoint,"{0, 0, 0}",0.1,3.5,4,0.0534,3,5,3.601475,SR_P141,"{1.55, 1.2, -1.3}",Res_T10_141,0.102815
