RoomID	RoomType	OriginID	OriginPoint	Height	Width	Depth	WFR	OutdoorVelocity	OutdoorTemperature	DistanceFromWindow	PointID	Point	ResultID_T10	T_10	ResultID_T20	T_20	ResultID_T30	T_30	ResultID_T40	T_40	ResultID_T50	T_50	ResultID_T60	T_60	ResultID_T70	T_70	ResultID_T80	T_80	ResultID_T90	T_90	ResultID_T100	T_100
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.585631	SR_P201	"{-0.31, -0.3, -0.3}"	Res_T10_201	0.078598	Res_T20_201	0.056941	Res_T30_201	0.061756	Res_T40_201	0.054556	Res_T50_201	0.033326	Res_T60_201	0.047544	Res_T70_201	0.017145	Res_T80_201	0.041852	Res_T90_201	0.023129	Res_T100_201	0.047321
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.879953	SR_P202	"{-0.31, 0.0, -0.3}"	Res_T10_202	0.078454	Res_T20_202	0.059253	Res_T30_202	0.068212	Res_T40_202	0.058561	Res_T50_202	0.038944	Res_T60_202	0.052218	Res_T70_202	0.014671	Res_T80_202	0.043845	Res_T90_202	0.020379	Res_T100_202	0.047895
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.175827	SR_P203	"{-0.31, 0.3, -0.3}"	Res_T10_203	0.075672	Res_T20_203	0.060872	Res_T30_203	0.073024	Res_T40_203	0.061974	Res_T50_203	0.044817	Res_T60_203	0.056958	Res_T70_203	0.017314	Res_T80_203	0.046642	Res_T90_203	0.020559	Res_T100_203	0.048499
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.472696	SR_P204	"{-0.31, 0.6, -0.3}"	Res_T10_204	0.069981	Res_T20_204	0.062249	Res_T30_204	0.074981	Res_T40_204	0.065646	Res_T50_204	0.049993	Res_T60_204	0.064378	Res_T70_204	0.027751	Res_T80_204	0.052777	Res_T90_204	0.02762	Res_T100_204	0.050635
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.770239	SR_P205	"{-0.31, 0.9, -0.3}"	Res_T10_205	0.06611	Res_T20_205	0.063402	Res_T30_205	0.073103	Res_T40_205	0.06766	Res_T50_205	0.050299	Res_T60_205	0.069347	Res_T70_205	0.038414	Res_T80_205	0.060101	Res_T90_205	0.039755	Res_T100_205	0.054514
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.068261	SR_P206	"{-0.31, 1.2, -0.3}"	Res_T10_206	0.062627	Res_T20_206	0.063904	Res_T30_206	0.067302	Res_T40_206	0.068749	Res_T50_206	0.046534	Res_T60_206	0.069248	Res_T70_206	0.051279	Res_T80_206	0.063766	Res_T90_206	0.059914	Res_T100_206	0.058936
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.366634	SR_P207	"{-0.31, 1.5, -0.3}"	Res_T10_207	0.054142	Res_T20_207	0.057593	Res_T30_207	0.054012	Res_T40_207	0.059361	Res_T50_207	0.038203	Res_T60_207	0.053649	Res_T70_207	0.068053	Res_T80_207	0.053179	Res_T90_207	0.091576	Res_T100_207	0.053873
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.665273	SR_P208	"{-0.31, 1.8, -0.3}"	Res_T10_208	0.039226	Res_T20_208	0.038983	Res_T30_208	0.027584	Res_T40_208	0.036307	Res_T50_208	0.031311	Res_T60_208	0.050202	Res_T70_208	0.092729	Res_T80_208	0.06432	Res_T90_208	0.138666	Res_T100_208	0.050566
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.134629	SR_P209	"{0.0, -1.8, -0.3}"	Res_T10_209	0.203522	Res_T20_209	0.196166	Res_T30_209	0.210671	Res_T40_209	0.199896	Res_T50_209	0.212503	Res_T60_209	0.204114	Res_T70_209	0.212603	Res_T80_209	0.204561	Res_T90_209	0.210733	Res_T100_209	0.204118
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.371652	SR_P210	"{0.0, -1.5, -0.3}"	Res_T10_210	0.059091	Res_T20_210	0.04291	Res_T30_210	0.048872	Res_T40_210	0.039606	Res_T50_210	0.05394	Res_T60_210	0.036862	Res_T70_210	0.06362	Res_T80_210	0.037336	Res_T90_210	0.06989	Res_T100_210	0.037872
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.66191	SR_P211	"{0.0, -1.2, -0.3}"	Res_T10_211	0.066249	Res_T20_211	0.047243	Res_T30_211	0.047805	Res_T40_211	0.04261	Res_T50_211	0.037089	Res_T60_211	0.037224	Res_T70_211	0.04252	Res_T80_211	0.037638	Res_T90_211	0.048604	Res_T100_211	0.042029
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.958188	SR_P212	"{0.0, -0.9, -0.3}"	Res_T10_212	0.071378	Res_T20_212	0.050913	Res_T30_212	0.051158	Res_T40_212	0.046304	Res_T50_212	0.03153	Res_T60_212	0.040042	Res_T70_212	0.031201	Res_T80_212	0.039208	Res_T90_212	0.037015	Res_T100_212	0.044654
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.256234	SR_P213	"{0.0, -0.6, -0.3}"	Res_T10_213	0.076312	Res_T20_213	0.054175	Res_T30_213	0.056485	Res_T40_213	0.050584	Res_T50_213	0.031134	Res_T60_213	0.04393	Res_T70_213	0.023222	Res_T80_213	0.04053	Res_T90_213	0.029242	Res_T100_213	0.046268
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.555032	SR_P214	"{0.0, -0.3, -0.3}"	Res_T10_214	0.07904	Res_T20_214	0.056884	Res_T30_214	0.063026	Res_T40_214	0.054718	Res_T50_214	0.034501	Res_T60_214	0.048189	Res_T70_214	0.017643	Res_T80_214	0.041842	Res_T90_214	0.0241	Res_T100_214	0.047084
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.854218	SR_P215	"{0.0, 0.0, -0.3}"	Res_T10_215	0.078756	Res_T20_215	0.059056	Res_T30_215	0.069665	Res_T40_215	0.058385	Res_T50_215	0.040045	Res_T60_215	0.052504	Res_T70_215	0.015627	Res_T80_215	0.043562	Res_T90_215	0.021492	Res_T100_215	0.047483
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.153631	SR_P216	"{0.0, 0.3, -0.3}"	Res_T10_216	0.076053	Res_T20_216	0.060634	Res_T30_216	0.075026	Res_T40_216	0.061578	Res_T50_216	0.045947	Res_T60_216	0.056953	Res_T70_216	0.019099	Res_T80_216	0.046142	Res_T90_216	0.022185	Res_T100_216	0.047931
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.453187	SR_P217	"{0.0, 0.6, -0.3}"	Res_T10_217	0.070991	Res_T20_217	0.062107	Res_T30_217	0.078284	Res_T40_217	0.065164	Res_T50_217	0.051684	Res_T60_217	0.064194	Res_T70_217	0.030751	Res_T80_217	0.052183	Res_T90_217	0.030273	Res_T100_217	0.049976
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.752839	SR_P218	"{0.0, 0.9, -0.3}"	Res_T10_218	0.067769	Res_T20_218	0.063437	Res_T30_218	0.076665	Res_T40_218	0.067304	Res_T50_218	0.053119	Res_T60_218	0.069241	Res_T70_218	0.042949	Res_T80_218	0.059681	Res_T90_218	0.043094	Res_T100_218	0.053982
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.05256	SR_P219	"{0.0, 1.2, -0.3}"	Res_T10_219	0.06347	Res_T20_219	0.064098	Res_T30_219	0.067732	Res_T40_219	0.068584	Res_T50_219	0.051573	Res_T60_219	0.069213	Res_T70_219	0.059063	Res_T80_219	0.063754	Res_T90_219	0.063481	Res_T100_219	0.058682
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.352331	SR_P220	"{0.0, 1.5, -0.3}"	Res_T10_220	0.050555	Res_T20_220	0.057555	Res_T30_220	0.049186	Res_T40_220	0.059402	Res_T50_220	0.052149	Res_T60_220	0.05404	Res_T70_220	0.082782	Res_T80_220	0.053659	Res_T90_220	0.09389	Res_T100_220	0.053575
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	3.65214	SR_P221	"{0.0, 1.8, -0.3}"	Res_T10_221	0.063192	Res_T20_221	0.040472	Res_T30_221	0.054005	Res_T40_221	0.037741	Res_T50_221	0.07123	Res_T60_221	0.04998	Res_T70_221	0.117559	Res_T80_221	0.065801	Res_T90_221	0.136304	Res_T100_221	0.051944
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.337972	SR_P222	"{0.31, -1.8, -0.3}"	Res_T10_222	0.058994	Res_T20_222	0.057522	Res_T30_222	0.067847	Res_T40_222	0.055183	Res_T50_222	0.082717	Res_T60_222	0.058292	Res_T70_222	0.091401	Res_T80_222	0.062011	Res_T90_222	0.097936	Res_T100_222	0.060812
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.483968	SR_P223	"{0.31, -1.5, -0.3}"	Res_T10_223	0.061786	Res_T20_223	0.048981	Res_T30_223	0.04422	Res_T40_223	0.043441	Res_T50_223	0.045382	Res_T60_223	0.038307	Res_T70_223	0.054062	Res_T80_223	0.041123	Res_T90_223	0.059915	Res_T100_223	0.046142
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	0.730907	SR_P224	"{0.31, -1.2, -0.3}"	Res_T10_224	0.06504	Res_T20_224	0.047482	Res_T30_224	0.045244	Res_T40_224	0.041953	Res_T50_224	0.0342	Res_T60_224	0.036266	Res_T70_224	0.039253	Res_T80_224	0.037804	Res_T90_224	0.044717	Res_T100_224	0.042917
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.007087	SR_P225	"{0.31, -0.9, -0.3}"	Res_T10_225	0.069984	Res_T20_225	0.049905	Res_T30_225	0.049197	Res_T40_225	0.044846	Res_T50_225	0.029883	Res_T60_225	0.038649	Res_T70_225	0.029664	Res_T80_225	0.038433	Res_T90_225	0.034905	Res_T100_225	0.043781
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.293918	SR_P226	"{0.31, -0.6, -0.3}"	Res_T10_226	0.075147	Res_T20_226	0.052916	Res_T30_226	0.054863	Res_T40_226	0.049041	Res_T50_226	0.029832	Res_T60_226	0.042499	Res_T70_226	0.022349	Res_T80_226	0.03961	Res_T90_226	0.027863	Res_T100_226	0.044942
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.585631	SR_P227	"{0.31, -0.3, -0.3}"	Res_T10_227	0.078164	Res_T20_227	0.055632	Res_T30_227	0.061606	Res_T40_227	0.053311	Res_T50_227	0.03328	Res_T60_227	0.046803	Res_T70_227	0.016919	Res_T80_227	0.040914	Res_T90_227	0.023004	Res_T100_227	0.045588
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	1.879953	SR_P228	"{0.31, 0.0, -0.3}"	Res_T10_228	0.07806	Res_T20_228	0.057893	Res_T30_228	0.068315	Res_T40_228	0.057229	Res_T50_228	0.038843	Res_T60_228	0.051209	Res_T70_228	0.014604	Res_T80_228	0.042626	Res_T90_228	0.020391	Res_T100_228	0.045878
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.175827	SR_P229	"{0.31, 0.3, -0.3}"	Res_T10_229	0.07527	Res_T20_229	0.059558	Res_T30_229	0.073516	Res_T40_229	0.06069	Res_T50_229	0.04473	Res_T60_229	0.055688	Res_T70_229	0.017583	Res_T80_229	0.045104	Res_T90_229	0.020867	Res_T100_229	0.046172
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.472696	SR_P230	"{0.31, 0.6, -0.3}"	Res_T10_230	0.069528	Res_T20_230	0.060899	Res_T30_230	0.076176	Res_T40_230	0.064434	Res_T50_230	0.050189	Res_T60_230	0.062364	Res_T70_230	0.028556	Res_T80_230	0.050345	Res_T90_230	0.028577	Res_T100_230	0.047583
Standard_00534	Standard	SR_OriginPoint	"{0, 0, 0}"	1.1	3.5	4	0.0534	3	5	2.770239	SR_P231	"{0.31, 0.9, -0.3}"	Res_T10_231	0.065545	Res_T20_231	0.061806	Res_T30_231	0.074658	Res_T40_231	0.066119	Res_T50_231	0.050977	Res_T60_231	0.066985	Res_T70_231	0.039924	Res_T80_231	0.056531	Res_T90_231	0.0412	Res_T100_231	0.050512
